0,0,0,1,245000
0,0,1,1,245000
1000,1,iperf3 -c 10.0.0.2 -t 241 -i 0.1 -J --logfile sv-test-c.log &
0,5,1,0,30,90,2,1500,1,2000,82,2,4000,46
7899,2,0,1,21,0,0,0
22911,2,0,1,50,0,0,0
26585,2,0,1,42,1,3,0
33650,2,0,2,90,1,1,0
42382,2,0,2,21,0,0,0
42752,2,0,2,37,1,22,0
60591,2,0,1,55,4,1,0
80936,2,0,1,54,0,0,0
81413,2,0,1,56,0,0,0
83204,2,0,1,28,0,0,0
91103,2,0,1,30,0,0,0
92763,2,0,1,38,0,0,0
94494,2,0,1,27,0,0,0
115390,2,0,1,64,0,0,0
116036,2,0,1,45,2,3,0
122330,2,0,2,49,0,0,0
134177,2,0,1,25,0,0,0
154457,2,0,1,50,2,29,0
155447,2,0,1,67,0,0,0
157638,2,0,1,26,2,5,0
165537,2,0,1,43,0,0,0
172595,2,0,1,66,0,0,0
175371,2,0,1,42,2,1,0
182171,2,0,2,34,1,1,0
191230,2,0,2,33,0,0,0
191620,2,0,2,40,0,0,0
209012,2,0,1,48,3,1,0
228476,2,0,1,48,0,0,0
229124,2,0,1,1,2,5,0
230854,2,0,1,27,0,0,0
